feature,importance
net_income,0.27254602
operating_cash_flow,0.26133046
ebitda,0.11317818
pe_ratio,0.10725671
forward_pe,0.08225204
ev_revenue,0.07154148
total_debt,0.05313308
net_debt,0.048864793
ps_ratio,0.044779394
gross_profit,0.037659355
revenue,0.037458763
total_cash,0.028723631
p_fcf,0.027114036
shares_outstanding,0.025828492
pb_ratio,0.025641812
free_cash_flow,0.016791904
fifty_two_week_position,0.015875023
roa,0.0153018115
beta,0.01377218
gross_margin,0.011616765
altman_z_score,0.010875345
ebitda_margin,0.010131513
debt_to_equity,0.009065682
dividend_yield,0.007218209
roe,0.0057814163
quick_ratio,0.0053538694
peg_ratio,0.0047352966
net_margin,0.0043189256
fcf_margin,0.0035619386
current_ratio,0.002993458
